c g $max_lat $min_lat $max_lon $min_lon $center_lat $center_lon
c p #nodes #edges
n 25269985 51.4566765 7.1310542
n 25269987 51.456712 7.1295613
n 25292341 51.532384 7.451022
n 25390916 51.4797728 7.2243849
n 25390985 51.4668828 7.2759477
n 25391011 51.4672606 7.2749137
n 25436974 51.494622 7.4018014
n 25469648 51.4615497 7.2746382
n 25469712 51.4593578 7.2836097
n 25524296 51.4688567 7.2705091
n 25524304 51.4712524 7.2671687
n 25551348 51.4900175 7.4331151
n 25576630 51.4594868 7.2703473
n 25577950 51.4477685 7.2668249
n 25604665 51.5698827 7.5046432
n 25604791 51.570153 7.5062563
n 25634321 51.4419151 7.1452955
n 25634417 51.4340217 7.1758951
n 25634446 51.4448374 7.1710591
n 25634452 51.447167 7.168347
n 25634453 51.4478171 7.167419
n 25634484 51.4575602 7.1642084
n 25634486 51.4585377 7.1632169
n 25634504 51.4633871 7.1529801
n 25637327 51.4669902 7.2066611
n 25649188 51.4539655 7.19221
n 25649204 51.4352784 7.1791568
n 25680700 51.5436784 7.231718
n 25697456 51.4762118 7.2332533
n 25703459 51.4508055 7.2760715
n 25810985 51.5658225 7.308323
n 25811054 51.5686717 7.2797542
n 25811064 51.5715452 7.2765085
n 25870107 51.5696704 7.3785416
n 25893218 51.5718004 7.3818241
n 25895163 51.4706904 7.3087255
n 25895196 51.4519695 7.3233186
n 25895216 51.4438982 7.3363142
n 25897662 51.495008 7.4598902
n 25897663 51.4947581 7.4594057
n 25965699 51.5575445 7.2495967
n 25966344 51.5529783 7.2135423
n 25966360 51.5524086 7.2069383
n 25968569 51.4724537 7.3156347
n 25985388 51.4736495 7.3211643
n 25985400 51.4728022 7.3169278
n 25985408 51.4677204 7.300193
n 26188696 51.5567338 7.2101884
n 26188697 51.556708 7.210338
n 26188706 51.549668 7.2147406
n 26188735 51.557156 7.2101533
n 26235909 51.4818807 7.2159874
n 26726922 51.4599172 7.3368002
n 26726927 51.4616911 7.3364127
n 26737454 51.3424985 7.2912909
n 26891684 51.4748206 7.245786
n 26891695 51.4760069 7.2522764
n 26891711 51.4775452 7.2651977
n 26891716 51.4748525 7.2660127
n 26891720 51.4729071 7.2664317
n 26891727 51.4749481 7.2456735
n 26891747 51.475875 7.2440375
n 26891753 51.4766869 7.2336742
n 27070573 51.5238361 7.1463571
n 27168600 51.4384319 7.294425
n 27169200 51.4138605 7.2508411
n 27169205 51.4153494 7.253267
n 27169213 51.4218404 7.2569288
n 27169219 51.4237236 7.2615331
n 27169244 51.4371256 7.2789813
n 27182916 51.4469801 7.2675682
n 27183008 51.4462288 7.2682211
n 27306393 51.4628771 7.1497823
n 27420877 51.5541672 7.149869
n 27446459 51.5253035 7.14258
n 27470010 51.5375999 7.2485832
n 27502025 51.4219169 7.2856653
n 27502203 51.4126502 7.4313886
n 28342932 51.5236882 7.4809079
n 28342942 51.525742 7.4734137
n 28342944 51.5258017 7.4723832
n 28831690 51.4477915 7.2299444
n 29147826 51.4823558 7.2361242
n 30103507 51.5184704 7.2859621
n 30103510 51.5183667 7.2862378
n 30153188 51.4702089 7.31434
n 30153189 51.4701709 7.314638
n 30153192 51.4702849 7.3160248
n 30208493 51.4831041 7.234388
n 30395182 51.4433123 7.3391766
n 30395183 51.4423372 7.3408608
n 30483783 51.4701466 7.3157898
n 30483788 51.4702898 7.3156746
n 30483798 51.4704592 7.3146268
n 30483800 51.4702971 7.3145255
n 30483805 51.4699515 7.3154404
n 30491603 51.4528263 7.2866253
n 30491671 51.4379788 7.2822913
n 30491685 51.4379061 7.2786861
n 30491688 51.4383656 7.2780162
n 30491709 51.4389364 7.2714984
n 30491722 51.4397933 7.2687172
n 30689147 51.5048858 7.2240478
n 30852139 51.4334363 7.1380186
n 30884040 51.4286534 7.1647437
n 30884366 51.4271951 7.1424833
n 30884664 51.4647326 7.1793536
n 30902478 51.5024901 7.1595115
n 30947383 51.4306295 7.1229588
n 30950078 51.4300447 7.1518586
n 30951140 51.4244679 7.1614203
n 30972577 51.4041284 7.1701929
n 30972805 51.4288488 7.0977664
n 30972810 51.4295374 7.094051
n 30974781 51.4308589 7.1174004
n 30974782 51.4314108 7.1198316
n 31049092 51.431855 7.1402083
n 31077074 51.4459389 7.1904914
n 31077077 51.4427845 7.1831572
n 31266028 51.4184283 7.1535803
n 31269100 51.416811 7.1516953
n 31269118 51.418961 7.1505683
n 31269209 51.4138524 7.1549302
n 31516625 51.4130415 7.1553185
n 31518657 51.4069156 7.1689216
n 31518723 51.4031035 7.159317
n 31671481 51.4699838 7.3933452
n 31891842 51.4894976 7.3851628
n 31891844 51.4881893 7.3851562
n 32035363 51.4551735 7.1285981
n 32041131 51.4368029 7.1385342
n 32197312 51.5400523 7.2230572
n 32197360 51.5420581 7.2239817
n 32825696 51.3874515 7.3988099
n 32825699 51.3843302 7.3938237
n 32825711 51.3842918 7.3815072
n 32825727 51.3736313 7.3700096
n 32825731 51.3701885 7.36909
n 32825751 51.3538404 7.3361753
n 32831263 51.3732471 7.2468655
n 32831272 51.3760223 7.2370278
n 32862696 51.3992891 7.4306032
n 32862698 51.3988897 7.4305037
n 32862908 51.397546 7.4307638
n 32864916 51.4340692 7.1768342
n 32864922 51.4318197 7.1738597
n 32864962 51.4273102 7.1669942
n 32864980 51.4260441 7.165408
n 32931093 51.3633666 7.2456768
n 32931101 51.3649047 7.2496974
n 32931110 51.3700771 7.2513941
n 32939496 51.3640632 7.2460644
n 33045672 51.3977044 7.4295202
n 33045726 51.396932 7.4315336
n 33142160 51.3217961 7.2597706
n 33142232 51.3216949 7.2601605
n 33142237 51.3220938 7.2596438
n 33150001 51.5729907 7.4275606
n 33256931 51.3534566 7.3359467
n 33256935 51.3348639 7.281625
n 33394869 51.4943697 7.4004214
n 33394875 51.4878906 7.3645781
n 33406036 51.3834195 7.3822833
n 33706538 51.4051348 7.4299423
n 33712095 51.37156 7.3697205
n 33712096 51.3848894 7.3843135
n 33777290 51.4811389 7.3788597
n 33777299 51.4837258 7.3789653
n 33777305 51.4835433 7.3850338
n 33815494 51.4314456 7.467844
n 33815497 51.4345086 7.4668368
n 33815499 51.4338097 7.4623768
n 33815502 51.436305 7.4614772
n 33815513 51.4349011 7.4468795
n 33953438 51.3119866 7.24887
n 33997095 51.3506078 7.4383179
n 34033910 51.397185 7.4343903
n 34078248 51.3962249 7.4290414
n 34078252 51.3959256 7.4302583
n 34078257 51.3952728 7.433093
n 34453837 51.3715218 7.2517003
n 34453910 51.397491 7.2580853
n 34548650 51.3882276 7.3986035
n 34548709 51.3526191 7.3240883
n 34566062 51.3540527 7.3236936
n 34596347 51.5053862 7.4512556
n 34596350 51.5052079 7.4493526
n 34596376 51.5024064 7.4499129
n 34596384 51.5006562 7.4523283
n 34596387 51.4996327 7.450575
n 34810976 51.3778579 7.3732113
n 34810998 51.3879998 7.3950988
n 34813073 51.4054276 7.4281922
n 34813074 51.4054304 7.4279477
n 34923944 51.4086589 7.4206145
n 34923973 51.4117314 7.4284472
n 34923976 51.411781 7.4274184
n 35138980 51.3948741 7.4340313
n 35138982 51.3947243 7.435542
n 35138985 51.395497 7.4333327
n 35138986 51.3952446 7.4340641
n 35139024 51.4007413 7.4322895
n 35501588 51.3859971 7.3883868
n 35501593 51.3874915 7.3871778
n 35501594 51.3875481 7.3872737
n 35501596 51.387576 7.3869819
n 35501598 51.3876732 7.3871208
n 35642396 51.4440337 7.1677599
n 35642403 51.4439294 7.1673974
n 35910552 51.4510907 7.1929779
n 36136447 51.4012632 7.172718
n 36259476 51.4388964 7.1452718
n 36262999 51.4329645 7.1154934
n 36705984 51.4547926 7.1799387
n 37519855 51.4604843 7.182874
n 38679301 51.4295382 7.1082387
n 38679446 51.4299756 7.0995816
n 38872410 51.4312597 7.0988178
n 38898446 51.4318062 7.1011091
n 38901345 51.4317507 7.1012734
n 39745643 51.4804343 7.1292333
n 39745831 51.4782037 7.1264023
n 40798773 51.5494314 7.2852443
n 40798791 51.5526692 7.2821142
n 40798866 51.5488497 7.2358491
n 42992805 51.4555529 7.178457
n 43317776 51.4619692 7.2020531
n 46880533 51.426247 7.2937807
n 46880916 51.4261681 7.2934793
n 46884222 51.4255449 7.2911503
n 48842369 51.4654612 7.2037269
n 48901166 51.4624175 7.2009489
n 48901348 51.462863 7.199596
n 49462415 51.4951516 7.2758655
n 51162396 51.4660134 7.2042966
n 51367797 51.3806221 7.3910256
n 51376072 51.3842538 7.3974727
n 52700537 51.4118136 7.5145259
n 52807885 51.2975834 7.3677337
n 52808027 51.3010148 7.3464878
n 53195408 51.4581621 7.1654211
n 53255082 51.4597666 7.1420974
n 54676535 51.4678516 7.2075908
n 54741520 51.36754 7.2449115
n 54741548 51.3660904 7.2472554
n 54805070 51.4027478 7.4322208
n 54805133 51.4024208 7.4323019
n 56401867 51.4343394 7.1402752
n 57619053 51.2979869 7.3517566
n 57619055 51.2923665 7.349476
n 57627290 51.2966837 7.3098348
n 57635517 51.2899404 7.3375123
n 57635548 51.2913641 7.3425146
n 58003320 51.4362367 7.1418199
n 58964071 51.461983 7.1567707
n 58964083 51.4626704 7.1625361
n 58964095 51.4654455 7.1678171
n 58964096 51.4657147 7.1685106
n 58980085 51.4721272 7.1731752
n 59330130 51.4637967 7.1542277
n 59598658 51.4687186 7.170904
n 59606468 51.4880246 7.2214159
n 59900642 51.3909762 7.3045958
n 59900681 51.4075102 7.3260664
n 59900701 51.4025746 7.3281194
n 59900731 51.4011223 7.3416449
n 59900738 51.4006018 7.3425356
n 59900749 51.4013746 7.3453566
n 59960034 51.459515 7.5292367
n 59963590 51.4592161 7.5304296
n 59963600 51.4593611 7.530298
n 60013697 51.459402 7.5303804
n 60199941 51.4825053 7.1127339
n 60199943 51.4863845 7.1286485
n 60216255 51.4801011 7.1399122
n 60237808 51.4799825 7.1308049
n 60237817 51.4783594 7.1383359
n 60237849 51.4852434 7.1306201
n 60397018 51.4759003 7.1397035
n 60397026 51.4738102 7.1410492
n 60435388 51.4793474 7.1385185
n 60599969 51.4613235 7.1559463
n 60663287 51.4620453 7.4841447
n 60669208 51.4650226 7.5156049
n 60691647 51.470461 7.1532266
n 60691648 51.4709604 7.1531971
n 60788127 51.4445247 7.4918411
n 60789544 51.4656358 7.5177578
n 60790474 51.4465155 7.5288271
n 60814319 51.4493893 7.4884007
n 60814321 51.4508611 7.487808
n 60839251 51.4737934 7.1454937
n 60850769 51.4799848 7.1375506
n 60853778 51.4875497 7.1444978
n 63185614 51.416009 7.3379188
n 66877474 51.3855161 7.3931222
n 70381873 51.3008742 7.1016848
n 73789906 51.4487829 7.1531599
n 76575077 51.4859427 7.2144239
n 76757776 51.3220813 7.3378431
n 76757906 51.3168763 7.3419563
n 76776239 51.3021881 7.3447238
n 76776259 51.3019469 7.3457721
n 76776292 51.2987323 7.3594773
n 76776341 51.2972291 7.3669757
n 76776485 51.306337 7.3879816
n 78541521 51.4825441 7.3987875
n 78541525 51.4855408 7.402892
n 78541579 51.4874271 7.4109767
n 81357516 51.3016846 7.344477
n 81357528 51.3053012 7.3439869
n 81357546 51.3060345 7.3437838
n 81357564 51.3165684 7.3386416
n 81377072 51.3181469 7.3346799
n 81377091 51.3194919 7.3239942
n 81377118 51.3199193 7.3164398
n 81377123 51.3199279 7.3161504
n 81377268 51.3286137 7.2832842
n 81377276 51.3288299 7.2832644
n 81423868 51.3715413 7.1376406
n 81423890 51.3817221 7.1229888
n 81423953 51.3816342 7.0932027
n 82723637 51.3086392 7.1128051
n 87156558 51.5476553 7.318615
n 87156579 51.5449334 7.3159949
n 88921468 51.5487066 7.4621569
n 89103329 51.4480191 7.1674266
n 90412091 51.291703 7.2810295
n 90437806 51.4720052 7.2666957
n 90702191 51.4420827 7.1912923
n 92565586 51.4255398 7.4845685
n 92600272 51.2841291 7.2914225
n 92807324 51.4612713 7.1546536
n 93003518 51.325925 7.2367379
n 93003591 51.313817 7.2056321
n 93006066 51.5209566 7.4699398
n 93006161 51.5133459 7.45574
n 94115489 51.4068915 7.4437752
n 94115631 51.4074218 7.4435533
n 94115676 51.4091151 7.4446313
n 94115702 51.4104534 7.4436558
n 94115764 51.4162369 7.4441821
n 95763811 51.2988383 7.34225
n 95956253 51.4954882 7.2761156
n 95970908 51.3531378 7.1227658
n 95971917 51.5161947 7.2857272
n 97190299 51.3645149 7.1320661
n 97190304 51.3691739 7.1383809
n 97191567 51.3584126 7.1624847
n 97191579 51.3564258 7.1711124
n 97705878 51.5053123 7.2321495
n 97762422 51.5035721 7.2734166
n 98072779 51.4370902 7.3206385
n 98072784 51.4370507 7.3204018
n 98080114 51.4115378 7.4024548
n 98084359 51.4265092 7.4137768
n 98084360 51.4264733 7.4141244
n 98088155 51.4286142 7.4142614
n 98093955 51.4700069 7.3156815
n 101520205 51.4802688 7.2354675
n 102961270 51.4906487 7.4299316
n 102976536 51.4859215 7.4024723
n 102976582 51.488121 7.40171
n 105378021 51.4046807 7.4964984
n 105382472 51.4079355 7.4736198
n 105384716 51.4029116 7.4939776
n 106430435 51.4243908 7.2257181
n 107790090 51.4282505 7.2473474
n 107790450 51.4680209 7.3671338
n 107802263 51.3968021 7.1861061
n 107802444 51.404768 7.2003067
n 107813745 51.390756 7.2283434
n 107814141 51.3764057 7.1971728
n 107814211 51.3962298 7.1787072
n 107814312 51.3872455 7.1708636
n 112083471 51.4212955 7.5302292
n 112083873 51.4171818 7.5246472
n 114721006 51.4243929 7.4878331
n 114721014 51.4235078 7.4889097
n 114721033 51.4219437 7.4934545
n 114721068 51.4198409 7.4970275
n 114722990 51.4246962 7.4874673
n 114722992 51.4248082 7.4871461
n 114722996 51.4256659 7.4849967
n 124385991 51.3152036 7.2080565
n 126152323 51.4236872 7.5140675
n 126223706 51.558792 7.3975996
n 126223728 51.5608966 7.3972293
n 128526785 51.4936799 7.5187009
n 129596239 51.5019802 7.1746019
n 129596343 51.503667 7.1653998
n 130115965 51.5018202 7.5074248
n 130115970 51.5018675 7.5080317
n 130116005 51.5014907 7.5201438
n 130116008 51.5013851 7.5205222
n 130117514 51.4913766 7.4017514
n 130117543 51.491035 7.4017439
n 130188307 51.4660598 7.0967693
n 130188311 51.466435 7.0964145
n 147180200 51.4741322 7.3281525
n 147767507 51.2857018 7.3035442
n 148181705 51.4503043 7.3480229
n 148181715 51.4462245 7.3465756
n 148181720 51.4450885 7.344683
n 148181736 51.4401216 7.3392132
n 148181739 51.4402318 7.3386916
n 148181744 51.4404135 7.3361091
n 148181747 51.4409788 7.3343084
n 148199265 51.4310319 7.3359509
n 148199272 51.4335138 7.3374036
n 148203389 51.4172934 7.3379007
n 149046572 51.4383604 7.5135919
n 149046583 51.4348092 7.4989387
n 149046596 51.4319355 7.4867947
n 149084780 51.4419235 7.5126846
n 150610312 51.5137437 7.5164918
n 150610320 51.5135982 7.5167265
n 150610327 51.5104089 7.5172264
n 150857933 51.3816642 7.5250767
n 150878091 51.3348885 7.5194057
n 150881771 51.3010859 7.4616091
n 153567646 51.5081683 7.4220432
n 156898657 51.4510153 7.2583454
n 156898682 51.4522957 7.2606093
n 156898721 51.455567 7.264661
n 156899015 51.4603902 7.2719339
n 158569299 51.5536375 7.4835888
n 158710429 51.5087768 7.519753
n 165218248 51.4985519 7.2472843
n 165255702 51.4868994 7.2265541
n 178754233 51.5142794 7.4641714
n 182908530 51.3788749 7.093035
n 182908550 51.3820212 7.1022083
n 182908855 51.3841489 7.1016715
n 182919354 51.3904278 7.1536595
n 183493743 51.4958533 7.46953
n 185726711 51.3828478 7.4528119
n 185728675 51.3846088 7.4509536
n 185729787 51.3848975 7.449316
n 185783242 51.5501993 7.3062938
n 185785776 51.5494779 7.3063099
n 185786382 51.5478548 7.3199827
n 185786397 51.5653642 7.3084792
n 185786411 51.5656179 7.3085499
n 185786420 51.5639576 7.3093215
n 185786427 51.564204 7.3092012
n 185786431 51.5641812 7.3090628
n 185786440 51.5639496 7.309068
n 186098752 51.5731235 7.3831903
n 186105156 51.5128684 7.4191362
n 186114437 51.499963 7.4249685
n 186131749 51.4998428 7.513899
n 186131800 51.5004312 7.5034779
n 186145696 51.5249681 7.4850063
n 186497866 51.4245046 7.1152027
n 186497871 51.4244083 7.1153478
n 189053686 51.3723814 7.3751939
n 189062340 51.396469 7.3476111
n 189070991 51.4018836 7.3404788
n 189070992 51.4020643 7.340156
n 189081664 51.3843898 7.3728218
n 189081666 51.3844412 7.3724221
n 189103975 51.3666527 7.3784022
n 189103986 51.3705789 7.3843584
n 189103990 51.3708579 7.38494
n 189103997 51.3724149 7.3834622
n 189103998 51.3727702 7.3832618
n 190334829 51.4181627 7.4782142
n 190349418 51.4008002 7.4525748
n 190352970 51.4125291 7.4635601
n 190352977 51.4151563 7.477954
n 190357556 51.4181131 7.4796382
n 191082166 51.4269007 7.1217981
n 191090001 51.4204906 7.1455548
n 191923929 51.3904791 7.4929574
n 192237423 51.436001 7.5255734
n 192237426 51.4360683 7.524663
n 192237431 51.4369372 7.5232757
n 192241052 51.435132 7.5241237
n 192245787 51.4295326 7.5104798
n 192455173 51.4303099 7.5163235
n 194230502 51.5228232 7.4705621
n 194230515 51.5275839 7.4717029
n 195477834 51.4192066 7.5069699
n 195492244 51.396752 7.5023211
n 196292073 51.430105 7.4824314
n 196295777 51.424545 7.4791198
n 196295794 51.4271055 7.4731974
n 196295800 51.43011 7.4707347
n 196301472 51.4197232 7.484152
n 196301477 51.4200565 7.4862243
n 196302362 51.4200085 7.4876029
n 196302364 51.4202201 7.4864158
n 196303177 51.4215266 7.4857263
n 197362631 51.4230571 7.4868712
n 197682906 51.4207499 7.4898204
n 198436041 51.5225899 7.2988815
n 198436195 51.5245422 7.2992906
n 198437512 51.5254853 7.2873425
n 203022308 51.5099732 7.4385758
n 203022312 51.509536 7.4409719
n 203047210 51.5069315 7.4899972
n 205366932 51.4210416 7.4583496
n 205366946 51.4171097 7.4495279
n 205370338 51.4145035 7.4471164
n 206112225 51.4153571 7.530008
n 206139375 51.440023 7.2684829
n 206139409 51.4418695 7.2693228
n 206139411 51.4420101 7.2687536
n 206139431 51.4379642 7.2822294
n 206332196 51.4249348 7.2893738
n 206332201 51.4246049 7.2870621
n 206332222 51.4284263 7.2804031
n 207155315 51.4587583 7.2679823
n 207313070 51.4994807 7.4972877
n 207330946 51.4817648 7.4958589
n 220533075 51.5380753 7.3642312
n 220533109 51.5379436 7.3666394
n 220533176 51.4760648 7.397264
n 223516178 51.5514327 7.4121761
n 223516380 51.559288 7.4118583
n 223516391 51.5108911 7.4337621
n 226181771 51.397155 7.4314966
n 226356328 51.3947163 7.4386155
n 226356334 51.3944598 7.4367568
n 226363104 51.3945856 7.4376842
n 226521125 51.4174419 7.4222697
n 226521126 51.4171885 7.4220294
n 226525959 51.4125592 7.430837
n 226956923 51.4255598 7.1183052
n 226957426 51.4206218 7.1158663
n 226957442 51.4205807 7.1158927
n 226957899 51.4186556 7.1186781
n 226958011 51.4185325 7.1200303
n 227009511 51.4201483 7.1115558
n 227029983 51.4171797 7.11007
n 227049185 51.4151292 7.1072521
n 227071501 51.4175053 7.1171029
n 227071884 51.4152729 7.1139447
n 227099434 51.4170092 7.1219845
n 240134000 51.5156244 7.4734348
n 243091446 51.4920178 7.414401
n 243214157 51.4399838 7.2877996
n 243661280 51.3867356 7.413643
n 243661288 51.3838901 7.4136753
n 243662066 51.4399093 7.5135786
n 243882107 51.4920045 7.4108965
n 243882202 51.4912985 7.4056848
n 243888947 51.5118628 7.43257
n 243889564 51.5060291 7.4405271
n 244426734 51.3516466 7.0931996
n 244428773 51.350433 7.1162321
n 245221473 51.4181126 7.3383349
n 245447138 51.5105233 7.4365199
n 245923184 51.4606853 7.4096749
n 245939432 51.5136261 7.4555424
n 245939945 51.4998238 7.4400901
n 246066158 51.4963879 7.4476247
n 246584844 51.4762238 7.4395695
n 246668369 51.5118637 7.4881856
n 246671217 51.5163181 7.4877526
n 246677716 51.5120084 7.4929438
n 246678916 51.5117953 7.4872129
n 246679016 51.5132472 7.4854975
n 246683333 51.5031472 7.441463
n 246687012 51.402347 7.1719012
n 246822256 51.4937431 7.1761125
n 246835932 51.4794521 7.2039703
n 246874811 51.5598912 7.1815394
n 246874864 51.5607549 7.2076698
n 247054575 51.345832 7.5304165
n 247054581 51.3449092 7.5284938
n 247073408 51.3510556 7.1242256
n 247073451 51.3549853 7.1300317
n 247073454 51.3546535 7.1300534
n 247073457 51.3523363 7.143231
n 247073464 51.3512208 7.144444
n 247073499 51.3516645 7.1468444
n 247073501 51.352182 7.1479991
n 247073560 51.3548679 7.1626638
n 247073561 51.3552003 7.1629649
n 247073585 51.3594911 7.1643572
n 247073675 51.3707892 7.1378887
n 247073693 51.3528871 7.1349534
n 247073695 51.3522118 7.1353621
n 247073702 51.3538126 7.1336881
n 247318784 51.4903731 7.1186226
n 247427980 51.4594859 7.4149308
n 247428885 51.4690521 7.4145058
n 247431947 51.5009285 7.4589084
n 247479714 51.433111 7.4278478
n 247481176 51.453212 7.4461024
n 247645560 51.5069799 7.4509659
n 247650401 51.5357039 7.4549949
n 247683700 51.4909006 7.3477157
n 247764405 51.3611374 7.5063259
n 247764425 51.3654641 7.5299686
n 247900596 51.5201064 7.3334552
n 248170079 51.4457065 7.4565654
n 248184353 51.3384493 7.5149094
n 248184390 51.3474268 7.4929079
n 248187390 51.3351322 7.5191082
n 248206368 51.3757599 7.1447011
n 248398526 51.34244 7.530105
n 248423427 51.5058385 7.4392466
n 248423428 51.5057939 7.4389406
n 248625110 51.4953102 7.4222153
n 248626411 51.4896874 7.4212523
n 248928845 51.4486804 7.2587144
n 248928846 51.4486237 7.2585471
n 249283874 51.421152 7.213413
n 249283875 51.4211705 7.212971
n 249283917 51.4227328 7.2106235
n 249359820 51.4901658 7.4325477
n 249680291 51.5516921 7.1038685
n 249887807 51.4403332 7.2634331
n 249887808 51.4401745 7.2634242
n 249887815 51.4397018 7.2634699
n 251069468 51.5731175 7.1189433
n 251100144 51.5260646 7.3264114
n 251123590 51.5657499 7.1138777
n 251123602 51.5591989 7.1175828
n 251124949 51.5654931 7.1107173
n 251136773 51.5210644 7.3279553
n 251138841 51.5187974 7.3321798
n 251161581 51.5636963 7.2408866
n 251161582 51.5652433 7.2407041
n 251161604 51.568112 7.2584693
n 251161697 51.5583538 7.2091737
n 251161698 51.5583328 7.2084148
n 251169503 51.565252 7.233937
n 251603135 51.5386428 7.127027
n 251609724 51.5253649 7.3945691
n 251615386 51.5338443 7.1083117
n 251633161 51.5174907 7.1127158
n 251651354 51.5275578 7.1279946
n 251651355 51.5275352 7.1281618
n 251651356 51.5274931 7.1282327
n 251713149 51.5177754 7.4085922
n 251713159 51.5136139 7.408575
n 251717586 51.5263687 7.102008
n 251717591 51.5246552 7.1021585
n 251717921 51.5250423 7.1019844
n 251729367 51.5329009 7.093006
n 251742689 51.5091721 7.382451
n 251742881 51.5082215 7.3822411
n 251830606 51.5135754 7.1105757
n 251873032 51.4816803 7.1022695
n 251873034 51.4874684 7.1083924
n 251882348 51.4976825 7.0981978
n 251894670 51.4830046 7.0930771
n 251894696 51.4877646 7.1022332
n 251895018 51.4835481 7.0998227
n 252133361 51.446144 7.2698442
n 252205669 51.51322 7.5108871
n 252217257 51.4982244 7.4813864
n 252258567 51.2871102 7.5188999
n 252263416 51.2938704 7.5052248
n 252263443 51.3069035 7.5097027
n 252263460 51.3016292 7.5127156
n 252263466 51.3003155 7.5113954
n 252263502 51.3069162 7.5187519
n 252263562 51.2981121 7.516548
n 252332887 51.4957994 7.1210188
n 252387124 51.4966397 7.1053771
n 252387552 51.496604 7.1053611
n 252399839 51.4965994 7.1045469
n 252470583 51.5266135 7.4654493
n 252470644 51.5281127 7.4665228
n 252470863 51.5293243 7.4643761
n 252471340 51.5259516 7.4664013
n 252472042 51.5263266 7.4692762
n 252472045 51.526524 7.4713098
n 252551518 51.5249885 7.4657111
n 252552407 51.5192205 7.46511
n 252552415 51.5223362 7.4643998
n 252553891 51.5063956 7.1022945
n 252585609 51.5081602 7.4222095
n 252619735 51.443697 7.2722681
n 252619741 51.444193 7.2730644
n 252619770 51.4441364 7.27645
n 252619806 51.4472147 7.2685306
n 252619824 51.4456395 7.2664957
n 252619835 51.4465289 7.2672903
n 252629409 51.5279866 7.3245233
n 252739093 51.3457337 7.494635
n 252739096 51.3452436 7.4926873
n 252739112 51.3400511 7.4826335
n 252739123 51.3352955 7.4763626
n 252739125 51.3348636 7.4758646
n 252743022 51.5120406 7.5086281
n 252748070 51.5016968 7.4566965
n 252749776 51.5086318 7.5183662
n 252937399 51.5146904 7.4725241
n 252937401 51.5141936 7.472484
n 252937405 51.5125893 7.472307
n 252979969 51.5177134 7.508905
n 252981359 51.5184417 7.5244845
n 253343295 51.3241341 7.4403166
n 253343339 51.3165894 7.4373847
n 253345348 51.3014584 7.4522648
n 253942943 51.5115091 7.4293527
n 253984303 51.419883 7.1049386
n 254001022 51.4284069 7.1000084
n 254087775 51.4820137 7.5124125
n 254149256 51.4066502 7.1095145
n 254150204 51.3503722 7.1246185
n 254150222 51.3354939 7.13859
n 254279479 51.5707271 7.0932149
n 254280936 51.4816645 7.4411881
n 254429640 51.5729396 7.4711259
n 254430810 51.4744233 7.4672484
n 254461745 51.4942925 7.4137325
n 254615836 51.4554325 7.4369077
n 254617869 51.4596215 7.4300323
n 254622252 51.4562554 7.43043
n 254672355 51.3608425 7.5052637
n 254688005 51.5269833 7.4715091
n 254695651 51.5259111 7.4723373
n 254786351 51.5507996 7.112707
n 254792175 51.5569741 7.117718
n 254792888 51.552891 7.1209463
n 254793904 51.5512399 7.1050903
